title_original,ingredients_final,category,title_cleaned,steps_cleaned
Tahu Isi,"tahu, wortel, kubis, tauge, bawang putih, bawang merah, daun bawang, lada, tepung terigu, tepung beras, garam, air",tahu,Tahu Isi,"Sobek tahu di satu sisi, lalu keruk isinya. Haluskan bawang merah, bawang putih, lada, dan garam. Tumis bumbu halus, kemudian masukkan wortel, kubis, tauge, daun bawang, dan kerukan tahu. Sisihkan isian, lalu dinginkan. Isi tahu dengan tumisan sayur. Campurkan tepung terigu, tepung beras, garam, dan air hingga menjadi adonan. Setelah itu, gulingkan tahu ke dalam adonan, lalu goreng hingga matang."
Tahu gejrot,"tahu, bawang merah, bawang putih, cabai hijau, air asam, gula merah, kecap manis, garam",tahu,Tahu Gejrot,"Goreng tahu, kemudian tiriskan. Siapkan panci, masukkan air asam, dan nyalakan kompor dengan api kecil. Masukkan gula merah yang sudah diiris tipis, kecap manis, serta garam. Rebus hingga mendidih. Haluskan bawang merah, bawang putih, dan cabai hijau. Setelah itu, potong tahu dan letakkan di dalam mangkok. Tambahkan bahan yang telah dihaluskan, lalu siram dengan kuahnya."
Nugget tahu,"tahu, wortel, telur, daun bawang, bawang putih, penyedap rasa, garam, lada, tepung terigu, minyak goreng, tepung panir",tahu,Nugget Tahu,"Panaskan panci kukusan yang terisi air. Haluskan tahu, parut wortel, dan Haluskan bawang putih. Kemudian, masukkan tahu yang sudah dihaluskan, wortel yang sudah diparut, bawang putih yang sudah dihaluskan, telur, daun bawang, penyedap rasa, garam, lada, dan tepung terigu ke dalam satu wadah, lalu aduk rata. Setelah adonan rata, olesi loyang dengan minyak goreng, kemudian tuang adonan ke dalam loyang. Kukus adonan hingga matang. Setelah matang, dinginkan adonan, lalu Potong. Gulingkan potongan adonan ke dalam tepung panir, kemudian goreng menggunakan minyak goreng hingga kuning keemasan."
Mapo Tahu,"tahu, daging sapi, bawang putih, jahe, kecap manis, saus, saus sambal, cabai rawit, kaldu, minyak wijen, daun bawang, garam, gula, lada, maizena",tahu,Mapo Tahu,"Rendam daging sapi dengan kecap manis selama 30 menit. Tumis jahe dan bawang putih sampai harum. Kemudian masukkan daging sapi, tumis sampai berubah warna. Masukkan kaldu, tunggu sampai mendidih. Masukkan tahu, garam, gula, lada, saus, saus sambal, dan cabai rawit. Masak hingga matang. Terakhir, masukkan minyak wijen, daun bawang, dan maizena, lalu aduk rata. Kemudian matikan api."
Tahu Kuah Kuning,"tahu, tomat, daun bawang, bawang putih, lengkuas, minyak goreng, cabai rawit, daun jeruk, air, kemiri, jahe, lada, ketumbar, bawang merah, kunyit, gula, garam",tahu,Tahu Kuah Kuning,"Rebus tahu dengan garam sampai mendidih, kemudian Potong dadu. Goreng tahu sebentar. Haluskan kemiri, jahe, lada, ketumbar, dan kunyit. Panaskan minyak goreng, lalu Tumis bawang merah dan bawang putih sampai harum. Masukkan bumbu halus, kemudian Tumis hingga matang dan harum. Tambahkan sedikit air, lalu masukkan tahu, lengkuas, cabai rawit, tomat, daun bawang, dan daun jeruk. Aduk rata. Tuang sisa air, lalu masak sampai mendidih. Koreksi rasa, lalu tambahkan gula dan garam. Angkat dan Sajikan."
Sup tahu simpel ala fe',"tahu, bawang putih, kaldu, bakso, garam, gula, daun bawang",tahu,Sup Tahu,"Rebus kaldu. Kemudian, masukkan bawang putih yang dimemarkan, tahu, dan bakso. Masak hingga mendidih. Setelah itu, masukkan daun bawang, garam, dan gula. Lalu, matikan api."
Tahu bumbu,"tahu, sawi hijau, wortel, daging sapi, daun bawang, daun seledri, bawang putih, lada, garam, gula, minyak goreng",tahu,Tahu Bumbu,"Potong dadu tahu. Panaskan minyak goreng, kemudian goreng tahu hingga berubah warna, lalu angkat dan tiriskan. Iris serong wortel. Potong sawi hijau. Potong daging sapi. Cincang bawang putih. Panaskan sedikit minyak goreng untuk menumis, lalu tumis bawang putih hingga harum. Masukkan daging sapi dan wortel. Tambahkan air, kemudian tunggu hingga hampir mendidih. Masukkan sawi hijau. Tambahkan garam, lada, gula, dan daun bawang, lalu tunggu sebentar hingga mendidih. Tambahkan daun seledri, kemudian matikan kompor."
Tahu rolade,"tahu, telur, lada, bawang putih, daun singkong, garam, daun pisang",tahu,Tahu Rolade,"Haluskan bawang putih, lada, dan garam. Campurkan bumbu halus dengan tahu, telur, dan daun singkong, kemudian bungkus dengan daun pisang. Kukus selama 30 menit. Setelah dingin, Potong tahu. Celupkan ke dalam telur, lalu goreng."
Tahu Kecap,"tahu, tauge, seledri, bawang goreng, kecap manis, bawang merah, bawang putih, cabai rawit, garam, minyak goreng, kacang tanah",tahu,Tahu Kecap,"Potong tahu, lalu goreng tahu menggunakan minyak goreng hingga setengah matang. Angkat dan tiriskan. Goreng bawang merah dan bawang putih menggunakan minyak goreng. Setelah itu, haluskan bawang merah, bawang putih, garam, dan cabai rawit. Kemudian, tambahkan kecap manis dan aduk rata. Campurkan tahu dengan bumbu kecap manis tersebut, lalu aduk rata. Goreng kacang tanah menggunakan minyak goreng. Iris seledri. Sajikan tahu kecap dengan menambahkan kacang tanah, irisan seledri, tauge, dan bawang goreng."
Usyamta pedas (usus ayam tahu pedas),"daging ayam, tahu, cabai merah, cabai hijau, tomat, kecap manis, asam jawa, bawang merah, bawang putih, cabai keriting, cabai rawit, garam, gula merah, gula, kemiri",tahu,Usus Ayam Tahu Pedas,"Goreng tahu hingga kecoklatan, kemudian angkat dan tiriskan. Selanjutnya, haluskan bawang merah, bawang putih, cabai merah, cabai keriting, cabai rawit, kemiri, dan tomat. Setelah itu, tumis bumbu halus hingga harum dan matang. Masukkan daging ayam, lalu tambahkan kecap manis, cabai hijau, garam, gula merah, dan gula. Masak hingga daging ayam agak matang. Kemudian masukkan tahu yang sudah digoreng, aduk rata. Setelah semua tercampur, masukkan asam jawa. Aduk rata."
Tahu goreng bumbu rempah,"bawang putih, ketumbar, garam, lada, air, tahu",tahu,Tahu Goreng Bumbu Rempah,"Haluskan bawang putih, kemudian masukkan garam, lada, dan ketumbar, lalu tambahkan air. Rendam tahu dalam bumbu halus selama 15 menit, setelah itu goreng tahu hingga matang, kemudian sajikan."
Penyetan ayam tempe dan tahu,"ayam, tahu, tempe, kemiri, bawang putih, ketumbar, jintan, kunyit, jahe, kayu manis, daun salam, kulit jeruk, kecap manis, gula merah, minyak goreng, air, garam",tahu,Penyetan Ayam Tempe Dan Tahu,"Cuci dan Potong ayam, Potong tempe menjadi dua bagian, lalu Potong tahu menjadi dua bagian. Memarkan jahe dan kulit jeruk. Haluskan bawang putih, kemiri, ketumbar, jintan, kunyit, dan garam. Panaskan 2 sdm minyak goreng, kemudian Tumis bumbu halus. Masukkan kayu manis, jahe, dan kulit jeruk sampai harum. Setelah itu, masukkan air secukupnya, daun salam, kecap manis, dan gula merah. Aduk sampai rata, lalu Biarkan sampai mendidih. Masukkan ayam, dan bila sudah sedikit empuk, masukkan tempe dan tahu. Koreksi rasa. Masak sampai matang hingga bumbu meresap dan airnya tinggal sedikit. Angkat ayam, tempe, dan tahu, kemudian Tiriskan."
Bola-bola tahu,"tahu, telur, daun bawang, seledri, bawang putih, bawang merah, wortel, lada, garam, penyedap rasa",tahu,Bola-Bola Tahu,"Haluskan tahu. Kemudian, haluskan bawang merah, bawang putih, lada, garam, dan penyedap rasa. Campurkan tahu, telur, dan bumbu yang telah dihaluskan. Setelah itu, iris seledri, daun bawang, dan wortel, lalu campurkan ke dalam adonan."
Tahu tempe goreng sambal balado,"tempe, tahu, cabai merah, bawang merah, garam, penyedap rasa, air",tahu,Tahu Tempe Goreng Sambal Balado,"Potong tempe bentuk korek api dan tahu bentuk kotak. Goreng kering tempe dan tahu. Haluskan cabai merah dan bawang merah dengan sedikit air hingga halus. Panaskan minyak, kemudian masukkan bumbu yang telah dihaluskan. Tumis hingga cabai tidak berbau mentah, lalu tambahkan garam dan penyedap rasa. Setelah bumbu matang, masukkan tempe dan tahu goreng, aduk hingga bumbu meresap."
Sayur Sawi Putih + Tahu,"sawi, tahu, bawang merah, bawang putih, lada, gula, garam, minyak goreng, penyedap rasa",tahu,Sayur Sawi Putih Tahu,"Cuci bersih sawi, kemudian Potong sawi dan tahu. Iris bawang putih dan bawang merah. Panaskan minyak goreng, lalu Tumis bawang putih dan bawang merah. Setelah itu, tambahkan air. Tunggu hingga mendidih, kemudian campurkan sawi dan tahu. Tambahkan garam, lada, gula, dan penyedap rasa."
Semur Tahu,"tahu, gula merah, bawang merah, bawang putih, cabai rawit, jahe, kecap manis, garam",tahu,Semur Tahu,"Rebus gula merah, kemudian saring dan sisihkan. Haluskan bawang merah dan bawang putih. Iris cabai rawit dan Geprek jahe. Tumis bawang merah, bawang putih, cabai rawit, dan jahe. Setelah itu, masukkan tahu dan tumis sebentar. Lalu, masukkan air rebusan gula merah, tambahkan kecap manis dan garam. Tunggu sampai mendidih dan air teresap dalam tahu."
Tahu goreng ketumbar,"tahu, telur, tepung tapioka, tepung, tepung terigu, ketumbar, garam, lada, penyedap rasa",tahu,Tahu Goreng Ketumbar,"Siapkan dua wadah terpisah. Dalam wadah pertama, campurkan telur, tepung terigu, garam, lada, dan penyedap rasa untuk adonan celupan basah. Dalam wadah kedua, campurkan ketumbar, tepung tapioka, tepung, dan garam untuk adonan celupan kering. Aduk adonan kering hingga merata. Celupkan tahu ke dalam adonan basah, kemudian gulingkan ke dalam adonan kering hingga terlapisi rata."
Tumis Labu Siam Tahu Tempe Endes,"labu siam, tempe, tahu, bawang putih, bawang merah, cabai merah, garam, lada, penyedap rasa, minyak",tahu,Tumis Labu Siam Tahu Tempe,"Potong dadu tempe dan tahu. Potong labu siam. Potong bawang merah, bawang putih, dan cabai merah. Panaskan minyak, kemudian goreng tempe dan tahu yang sudah dipotong dadu hingga berwarna kuning keemasan. Setelah itu, tumis bawang merah, bawang putih, dan cabai merah hingga harum. Lalu masukkan labu siam yang sudah dipotong. Tambahkan garam, lada, dan penyedap rasa. Masak hingga semua bahan matang dan layu."
Tahu Isi,"tahu, bihun, wortel, tauge, bawang putih, daun bawang, garam, tepung terigu, kunyit, air",tahu,Tahu Isi,"Tumis bawang putih hingga harum, kemudian masukkan tauge, wortel, dan daun bawang, biarkan hingga layu. Setelah itu, tambahkan air dan biarkan mendidih. Setelah mendidih, masukkan bihun, kecilkan api, lalu bumbui dengan garam. Aduk hingga merata, biarkan air menyusut dan bumbu tercampur rata. Sisihkan isian dan biarkan agak dingin. Belah tahu, kemudian masukkan isian ke dalamnya. Campurkan tepung terigu, kunyit, dan air untuk membuat adonan pencelup. Celupkan tahu satu per satu ke dalam adonan pencelup, lalu goreng dalam minyak panas hingga kecokelatan. Tiriskan."
"Semur T3 (Tahu, Tempe, Telor)","tahu, tempe, telur, cabai rawit, cabai merah, bawang merah, bawang putih, kunyit, jahe, kemiri, lengkuas, daun salam, serai, kecap manis, penyedap rasa, cabai, air",tahu,Semur T3 Tahu Tempe Telur,"Potong tahu berbentuk segitiga, lalu goreng hingga matang dan tiriskan. Iris tempe. Rebus telur hingga matang, lalu kupas dan goreng hingga warna keemasan, kemudian tiriskan. Haluskan cabai, cabai rawit, cabai merah, bawang merah, bawang putih, kunyit, jahe, dan kemiri. Setelah itu, tumis bumbu halus, lalu masukkan lengkuas, daun salam, dan serai. Beri kecap manis dan penyedap rasa, kemudian tambahkan air. Masukkan tempe dan tahu, aduk hingga rata, lalu diamkan 3 menit. Setelah itu, masukkan telur, aduk hingga tercampur dan menyusut."
Sambel Tahu,"tahu, cabai merah, cabai rawit, bawang merah, bawang putih, gula, penyedap rasa, kecap manis",tahu,Sambal Tahu,"Potong tahu menjadi 4 bagian, kemudian goreng setengah matang, lalu tiriskan. Haluskan cabai merah, cabai rawit, bawang merah, dan bawang putih. Setelah itu, Tumis bumbu halus hingga harum dan matang. Masukkan gula, penyedap rasa, dan kecap manis, lalu tambahkan sedikit air, kemudian aduk rata. Masukkan tahu, lalu aduk hingga merata."
Pakcoy cha tahu,"baby pokcoy, tahu, bawang putih, bawang merah, cabai merah, minyak goreng, garam, kaldu jamur",tahu,Pakcoy Cha Tahu,"Iris bawang putih dan bawang merah. Buang biji cabai merah, lalu Iris. Potong tahu, kemudian goreng setengah matang. Panaskan minyak goreng, lalu tumis bawang putih, bawang merah, dan cabai merah hingga harum. Setelah itu, masukkan tahu yang sudah digoreng setengah matang dan baby pokcoy. Tambahkan garam dan kaldu jamur, lalu koreksi rasa."
Tahu Kuwalik,"tahu, telur, tepung tapioka, bawang putih, bawang merah, lada, garam",tahu,Tahu Kuwalik,"Haluskan bawang putih, bawang merah, lada, dan garam. Kemudian, campurkan tepung tapioka, telur, dan bumbu halus tersebut untuk membuat isian. Isikan adonan isian ke dalam tahu yang sudah dibalik, sekitar 1 sendok teh per tahu, lalu rapatkan hingga semua tahu terisi. Panaskan minyak secukupnya dalam wajan. Setelah itu, goreng tahu dengan api sedang hingga berwarna kecoklatan. Angkat dan tiriskan."
Sop daun katuk tahu goreng,"daun katuk, tahu, bawang putih, bawang merah, air, garam, penyedap rasa, minyak goreng",tahu,Sop Daun Katuk Tahu Goreng,"Cuci bersih daun katuk. Potong tahu menjadi ukuran kecil. Panaskan minyak goreng, lalu goreng tahu hingga kecoklatan dan tiriskan. Panaskan air dalam panci hingga mendidih. Setelah itu, masukkan daun katuk, bawang putih, bawang merah, garam, dan penyedap rasa. Masak hingga matang. Terakhir, masukkan tahu goreng ke dalam sop."
02. Tahu Cabe Lada Garam,"tahu, bawang putih, cabai merah, daun bawang, tepung, garam, tepung terigu, tepung maizena, daging sapi, lada, kecap manis",tahu,Tahu Cabe Lada Garam,"Cuci bersih tahu, kemudian Potong tahu menjadi 9 bagian. Sisihkan tahu di wadah bersih. Haluskan bawang putih dan cabai merah, lalu campurkan dengan garam, lada, dan kecap manis untuk membuat bumbu rendaman. Aduk rata bumbu rendaman, kemudian koreksi rasa. Masukkan tahu ke dalam bumbu rendaman, ratakan hingga semua tahu terlumuri bumbu. Simpan tahu dalam kulkas selama 30 menit. Campurkan tepung terigu dan tepung maizena dalam wadah kering bersih, aduk rata. Tuangkan sisa air bumbu rendaman ke dalam campuran tepung, aduk rata hingga menyatu dan tidak ada gumpalan. Lumuri tahu dengan campuran tepung ini. Panaskan wajan dengan minyak secukupnya untuk merendam tahu, gunakan api sedang. Goreng tahu hingga matang dan renyah. Tumis daging sapi hingga matang, kemudian sisihkan. Iris daun bawang sebagai taburan. Sajikan tahu goreng dengan taburan daging sapi dan irisan daun bawang."
Tahu isi daging,"tahu, telur, daging cincang, tepung tapioka, daun bawang, bawang merah, bawang putih, lada, pala, garam",tahu,Tahu Isi Daging,"Bagi tahu menjadi bentuk segitiga, kemudian keluarkan sedikit bagian dalamnya. Campurkan daging cincang, tepung tapioka, daun bawang, bawang merah, bawang putih, lada, pala, dan garam hingga menjadi adonan isian yang padat. Masukkan adonan isian ke dalam tahu yang sudah disiapkan. Setelah itu, celupkan tahu ke dalam kocokan telur, lalu goreng dalam minyak panas hingga matang."
Tahu aci krispi,"tahu, tapioka, tepung terigu, daun bawang, garam, lada, penyedap rasa",tahu,Tahu Aci Krispi,"Potong tahu, lalu goreng hingga kering. Setelah itu, belah tahu tidak sampai putus dan balik sehingga bagian luar berada di dalam. Untuk isian, campurkan tapioka, tepung terigu, garam, lada, penyedap rasa, dan daun bawang dalam wadah. Kemudian, tambahkan air panas sedikit demi sedikit hingga kalis. Isi tahu yang sudah dibalik dengan adonan isian. Selanjutnya, panaskan minyak, lalu goreng tahu yang sudah diisi hingga kuning keemasan."
Tumis Tahu Teri Murah Meriah,"tahu, ikan teri, bawang putih, bawang merah, cabai rawit, garam, gula",tahu,Tumis Tahu Teri,"Iris bawang merah, bawang putih, dan cabai rawit. Potong tahu bentuk dadu, lalu goreng sebentar, angkat, dan tiriskan. Goreng ikan teri yang sudah dicuci, angkat, dan tiriskan. Selanjutnya, tumis bawang merah, bawang putih, dan cabai rawit hingga harum. Setelah itu, masukkan gula dan garam, kemudian masukkan tahu dan ikan teri yang sudah digoreng."
Tahu crispy,"tepung, garam, tahu, tepung terigu, minyak goreng",tahu,Tahu Crispy,"Potong tahu menjadi dadu. Dalam mangkuk, campurkan tepung dan garam, kemudian masukkan tahu yang sudah dipotong ke dalam adonan tersebut. Setelah itu, siapkan wadah bertutup, masukkan tepung terigu ke dalamnya. Ambil tahu yang sudah dilumuri adonan, lalu masukkan ke dalam wadah berisi tepung terigu. Tutup wadah dan kocok hingga tahu terlumuri tepung terigu secara merata. Panaskan minyak goreng dalam wajan, kemudian goreng tahu hingga berwarna kuning keemasan, lalu angkat dan tiriskan."
Tahu Telor Simpel,"telur, tahu, bawangprei, lada, garam",tahu,Tahu Telor Simpel,"Kocok telur, kemudian masukkan bawangprei yang sudah diiris, lada, dan garam. Cuci bersih tahu, lalu potong kecil. Setelah itu, masukkan tahu ke dalam telur yang sudah dikocok, lalu aduk perlahan hingga tercampur rata. Panaskan minyak dengan jumlah cukup hingga benar-benar panas. Kemudian, masukkan adonan telur ke dalam minyak panas. Setelah telur dimasukkan, kecilkan api menjadi sedang agar matang merata dan tidak gosong."
Pepes intip tahu,"tahu, telur, jamur, cabai rawit, cabai merah, bawang merah, bawang putih, minyak goreng, garam, daun bawang",tahu,Pepes Intip Tahu,"Campurkan tahu, telur, jamur, cabai rawit, cabai merah, bawang merah, bawang putih, garam, dan daun bawang. Aduk rata. Kemudian, bungkus adonan dengan daun pisang dan semat dengan lidi. Setelah itu, panaskan wajan, beri sedikit minyak goreng, dan ratakan. Letakkan pepes di wajan, balik sesekali agar tidak gosong, lalu tutup sebentar. Setelah daun kering dan tidak ada air yang keluar dari pepes, angkat dan sajikan."
Simpel Donat Tahu Bihun Fantasi,"tahu, bihun, wortel, daun bawang, telur, tepung terigu",tahu,Donat Tahu Bihun Fantasi,"Masak bihun, kemudian angkat dan tiriskan. Rebus wortel hingga empuk dan matang, lalu tiriskan dan potong dadu. Hancurkan tahu, kemudian iris daun bawang. Dalam sebuah wadah, campurkan tahu yang sudah dihancurkan, bihun, potongan dadu wortel, irisan daun bawang, tepung terigu, dan telur. Aduk semua bahan hingga rata. Setelah itu, tuang adonan ke dalam loyang atau cetakan yang sudah diolesi minyak. Kukus adonan hingga matang, kemudian angkat dan dinginkan. Keluarkan adonan dari cetakan, lalu celupkan ke dalam kocokan telur. Goreng adonan hingga berwarna kecoklatan, kemudian angkat dan tiriskan."
Pepes Ayam & Tahu,"ayam, tahu, daun kemangi, daun pisang, jeruk nipis, bawang merah, bawang putih, cabai rawit, jahe, lengkuas, kunyit, serai, daun jeruk, lada, kemiri, tomat, garam, gula",tahu,Pepes Ayam & Tahu,"Cuci bersih ayam, kemudian Potong menjadi 6 bagian. Lumuri ayam dengan perasan jeruk nipis, diamkan selama 10 menit, lalu bilas dan tiriskan. Bersihkan daun pisang, kemudian Panaskan di atas api kompor hingga lentur. Haluskan bawang merah, bawang putih, cabai rawit, jahe, lengkuas, kunyit, lada, kemiri, serai, tomat, garam, dan gula. Iris tipis daun jeruk. Setelah itu, campurkan tahu dengan 3 sdm bumbu halus dan daun kemangi, lalu Aduk rata. Kemudian, masukkan sisa bumbu halus ke dalam ayam, lalu Aduk hingga rata."
"Sayur Lodeh Labusiam, Kacang Panjang & Tahu","labu siam, kacang panjang, terung, tahu, bawang merah, bawang putih, ketumbar, kemiri, santan, cabai merah, daun salam, daun jeruk, lengkuas, kaldu bubuk, gula, air",tahu,"Sayur Lodeh Labu Siam, Kacang Panjang Dan Tahu","Kupas, Potong, dan Cuci labu siam, kacang panjang, dan terung. Potong tahu bentuk kotak, kemudian Goreng sebentar. Haluskan bawang merah, bawang putih, ketumbar, dan kemiri. Tumis bumbu halus, lalu tambahkan irisan cabai merah, daun salam, daun jeruk, dan lengkuas. Setelah itu, Tambahkan air, lalu Masak sampai air mendidih. Masukkan labu siam terlebih dahulu, kemudian kacang panjang, terung, dan tahu. Tambahkan kaldu bubuk dan gula. Terakhir, Masukkan santan, lalu Aduk sampai mendidih."
Bola-Bola Daging Kuah Tahu,"daging cincang, daun bawang, tepung maizena, bawang putih, bawang merah, kaldu jamur, lada, kuah, air, tahu, wortel, kecap manis, garam, minyak",tahu,Bola-Bola Daging Kuah Tahu,"Panaskan minyak, kemudian Tumis bawang putih hingga harum. Masukkan wortel, aduk sebentar, lalu masukkan air. Tunggu hingga mendidih. Sementara itu, campurkan daging cincang, tepung maizena, bawang putih, bawang merah, kaldu jamur, lada, dan garam. Aduk rata, lalu bentuk bulat. Setelah kuah mendidih, masukkan bola-bola daging cincang satu per satu. Kecilkan api, masak hingga bola-bola daging mengapung. Kemudian, masukkan tahu. Bumbui kuah dengan kaldu jamur, lada, kecap manis, dan garam. Aduk perlahan, lalu masak selama 5 menit. Masukkan daun bawang, aduk, lalu matikan api."
Pepes Tahu Jamur Merang,"tahu, jamur, telur, tomat, daun pisang, lada, cabai merah, bawang putih, bawang merah, penyedap rasa, serai, daun salam",tahu,Pepes Tahu Jamur Merang,"Haluskan lada, cabai merah, bawang putih, dan bawang merah. Tumis bumbu halus tersebut, kemudian masukkan serai dan daun salam. Masak hingga harum, lalu kecilkan api. Masukkan tahu yang sudah dihancurkan ke dalam tumisan bumbu. Aduk sebentar, lalu masukkan jamur dan penyedap rasa. Aduk rata, kemudian angkat dan campurkan telur. Siapkan daun pisang, letakkan adonan di atasnya, tambahkan irisan tomat, lalu bungkus rapat. Panaskan kukusan, kemudian kukus pepes hingga matang."
Semur Kecap Telur Tahu,"telur, tahu, lengkuas, daun salam, garam, air, kecap manis, bawang putih, bawang merah, kemiri",tahu,Semur Kecap Telur Tahu,"Haluskan bawang putih, bawang merah, dan kemiri. Panaskan minyak. Tumis bumbu halus tersebut bersama lengkuas dan daun salam hingga harum. Kemudian, tambahkan 160 ml air, garam, dan kecap manis. Aduk rata. Setelah itu, masukkan tahu dan telur. Aduk perlahan dan masak hingga air menyusut serta bumbu meresap."
Ayam tahu telur,"ayam, tahu, telur, bawang merah, bawang putih, kemiri, ketumbar, kunyit, santan, serai, lengkuas, daun salam, gula, kaldu",tahu,Ayam Tahu Telur,"Rebus telur, kemudian potong dan bersihkan ayam. Haluskan bawang merah, bawang putih, kemiri, dan kunyit, lalu tumis bumbu halus tersebut sampai harum bersama serai, lengkuas, dan daun salam. Setelah itu, masukkan ayam dan aduk sampai berubah warna, kemudian tambahkan air secukupnya. Masukkan telur rebus dan tahu yang sudah dipotong, lalu bumbui dengan ketumbar, gula, dan kaldu. Masak hingga ayam empuk, kemudian masukkan santan dan biarkan mendidih sebentar."
Cireng Tahu,"tahu, tepung tapioka, tepung terigu, bawang putih, kaldu bubuk, air, kacang tanah, gula merah, kecap manis",tahu,Cireng Tahu,"Hancurkan tahu, kemudian tambahkan tepung tapioka dan tepung terigu. Masukkan air sedikit demi sedikit hingga adonan mengental. Haluskan bawang putih, lalu campurkan ke dalam adonan. Tambahkan garam dan kaldu bubuk. Setelah itu, goreng adonan hingga matang. Untuk membuat bumbu, haluskan kacang tanah dan bawang putih. Kemudian masak dengan sedikit air. Masukkan kecap manis, gula merah, dan sedikit garam. Sajikan cireng bersama bumbu kacang."
Oseng pare tahu,"pare, tahu, teri, tomat, cabai merah, cabai rawit, bawang merah, bawang putih, gula, garam, lengkuas",tahu,Oseng Pare Tahu,"Potong pare, buang bijinya. Cuci pare, lalu remas dengan 1 sdt garam hingga layu. Cuci kembali hingga bersih. Haluskan bawang merah, bawang putih, cabai rawit, garam, dan gula. Iris cabai merah dan tomat. Potong tahu bentuk kubus, lalu goreng. Cuci teri, kemudian goreng. Tumis bumbu yang sudah dihaluskan, masukkan lengkuas yang sudah digeprek, dan cabai merah. Tumis hingga harum. Masukkan pare ke dalam bumbu yang ditumis, tambahkan sedikit air. Aduk, masak hingga pare setengah matang. Kemudian, masukkan tahu, teri, dan tomat yang sudah diiris. Aduk hingga matang."
Tahu Aci Pedas Manis #Bandung_RecookSenyRoss,"tahu, tepung tapioka, telur, garam, daun bawang, saus, saus sambal, cabai rawit, bawang putih, bawang merah",tahu,Tahu Aci Pedas Manis,"Haluskan cabai rawit, bawang putih, dan bawang merah. Haluskan tahu, lalu campurkan dengan bumbu halus tersebut. Kemudian masukkan telur, tepung tapioka, garam, dan daun bawang yang sudah diiris. Aduk rata adonan. Sajikan Tahu Aci dengan saus dan saus sambal."
Tahu fantasi (#bandung_recookSenyRoss),"tahu, wortel, bihun, telur, daun bawang, seledri, bawang putih, garam, air",tahu,Tahu Fantasi,"Campurkan tahu, bihun, wortel, daun bawang, seledri, bawang putih, dan garam. Aduk rata. Kemudian, tambahkan telur dan air. Aduk kembali hingga semua bahan tercampur rata."
Tempe tahu goreng rempah,"tempe, tahu, air, tepung beras, bawang merah, bawang putih, ketumbar, kemiri, jahe, kunyit, garam",tahu,Tempe Tahu Goreng Rempah,"Haluskan bawang merah, bawang putih, ketumbar, kemiri, jahe, kunyit, dan garam. Kemudian tambahkan air, lalu campur rata. Masukkan tempe dan tahu yang sudah dipotong, kemudian lumuri dengan bumbu halus. Diamkan minimal 30 menit. Setelah itu, tambahkan tepung beras, lalu aduk rata hingga tempe dan tahu terbalut. Goreng hingga berwarna kuning kecoklatan, kemudian angkat dan tiriskan."
Gehu jeletot/tahu isi,"tahu, ayam, wortel, kubis, tauge, daun bawang, bawang merah, bawang putih, lada, cabai rawit, garam, gula, penyedap rasa",tahu,Tahu Isi,"Keluarkan isi tahu yang sudah digoreng. Cincang ayam, wortel, kubis, daun bawang, dan cabai rawit, lalu sisihkan. Haluskan bawang merah, bawang putih, dan lada. Kemudian Tumis bumbu halus hingga harum. Setelah itu, masukkan ayam, wortel, kubis, daun bawang, cabai rawit yang sudah dicincang, tauge, serta isi tahu yang sudah dikeluarkan. Tambahkan sedikit air, gula, garam, dan penyedap rasa, lalu Tumis hingga matang. Setelah matang, masukkan isian ke dalam tahu yang sudah kosong hingga padat."
Semur tahu telur,"telur, tahu, daun salam, serai, gula merah, lengkuas, bawang merah, bawang putih, kemiri, pala, lada, garam",tahu,Semur Tahu Telur,"Haluskan bawang merah, bawang putih, kemiri, pala, dan lada. Tumis bumbu halus hingga harum. Kemudian masukkan lengkuas, daun salam, dan serai. Aduk rata. Setelah itu, masukkan tahu dan telur. Bumbui dengan garam dan gula merah. Aduk rata. Tuangkan air. Masak hingga air menyusut dan bumbu meresap. Setelah matang, matikan api, lalu pindahkan ke wadah saji."
Tahu isi sayur pedas,"tahu, wortel, daun kol, daun bawang, cabai merah, bawang merah, bawang putih, garam, penyedap rasa, tepung terigu, tepung beras, air, kaldu",tahu,Tahu Isi Sayur Pedas,"Iris daun kol, wortel, dan daun bawang. Haluskan cabai merah, bawang merah, dan bawang putih. Kemudian Tumis bumbu halus, lalu masukkan irisan daun kol, wortel, dan daun bawang. Tambahkan garam dan penyedap rasa, lalu masak hingga layu dan matang. Siapkan tahu, lalu belah bagian tengahnya. Masukkan isian tumisan ke dalam tahu. Campurkan tepung terigu dan tepung beras. Tambahkan air sedikit demi sedikit hingga adonan kental, lalu masukkan kaldu. Celupkan tahu yang sudah diisi ke dalam adonan tepung. Kemudian panaskan minyak, lalu goreng tahu hingga matang."
"Tumis Kacang Polong, Tahu, Jamur","kacang polong, jamur kancing, tahu, ayam fillet, bawang putih, bawang bombay, tepung maizena",tahu,"Tumis Kacang Polong, Tahu, Jamur","Cuci dan Potong kecil ayam fillet. Potong tipis bawang putih dan bawang bombay. Buka kaleng kacang polong dan jamur kancing, bilas dengan air. Potong jamur kancing menjadi dua. Potong juga tahu. Tumis bawang putih hingga harum, kemudian masukkan ayam fillet dan bawang bombay. Masukkan kacang polong, jamur kancing, dan tahu. Masak hingga setengah matang, kemudian beri air dan bumbu penyedap. Kemudian tambahkan tepung maizena supaya kuahnya kental."
